epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5193,2.05601,3.35607,2.51684,0.78353,0.76027,0.73266,0.27419,2.37517,0.77102,3.86253,0.000476286,0.000476286,0.000476286
2,26.4707,2.32051,2.43787,2.4828,0.0157,0.0625,0.00492,0.00134,3.14526,12.5103,4.16343,0.00101493,0.00101493,0.00101493
3,29.0369,2.79107,3.04291,2.81695,0.01047,0.28472,0.008,0.00175,3.61399,28.8413,6.44606,0.00153523,0.00153523,0.00153523
4,31.443,2.85705,3.09395,2.89225,0.01833,0.11806,0.00663,0.00158,3.99518,307.033,17.5181,0.00158448,0.00158448,0.00158448
5,33.6801,2.53872,2.79732,2.66652,0.00704,0.11806,0.00179,0.00038,4.58935,84.9526,51.3534,0.00155698,0.00155698,0.00155698
6,35.9868,2.40575,2.74913,2.55276,0.00437,0.70139,0.00544,0.00112,3.27925,2324.79,71.3588,0.00152947,0.00152947,0.00152947
7,38.6585,2.18795,2.66341,2.40053,0,0,0,0,3.34652,18110.8,690.467,0.00150197,0.00150197,0.00150197
8,41.7335,2.18127,2.62924,2.3358,0.00084,0.17361,0.0002,3e-05,3.22913,3174.3,75.5032,0.00147446,0.00147446,0.00147446
9,44.0833,2.14665,2.61722,2.30456,0.00558,0.57639,0.00495,0.00094,3.39153,1118.62,19.7878,0.00144696,0.00144696,0.00144696
10,46.3768,1.98538,2.54603,2.1796,0.04033,0.17361,0.01892,0.00385,3.84326,135.832,19.8111,0.00141945,0.00141945,0.00141945
11,48.6858,1.98584,2.43874,2.1868,0.0002,0.05556,0.00021,4e-05,4.27889,10.2015,25.2101,0.00139195,0.00139195,0.00139195
12,50.9503,2.09203,2.44558,2.23941,0.03876,0.17361,0.01427,0.00484,3.38779,119.457,6.21277,0.00136444,0.00136444,0.00136444
13,54.3176,1.99633,2.41993,2.16681,0.01363,0.52778,0.01806,0.00725,3.1175,508.254,7.68382,0.00133693,0.00133693,0.00133693
14,56.7392,1.9132,2.33558,2.12709,0.01561,0.45833,0.01484,0.00361,3.47034,69.1668,5.57665,0.00130943,0.00130943,0.00130943
15,58.97,1.92433,2.41675,2.12304,0.04258,0.23611,0.04172,0.00718,3.24644,33.251,6.23202,0.00128192,0.00128192,0.00128192
16,61.1784,1.8627,2.38505,2.05178,0.23103,0.11806,0.10116,0.01675,3.06032,8.56719,4.16685,0.00125442,0.00125442,0.00125442
17,63.443,1.87269,2.30143,2.04984,0.15982,0.35417,0.13984,0.02664,2.89693,6.81263,4.03601,0.00122691,0.00122691,0.00122691
18,66.1546,1.76344,2.22379,1.95823,0.14536,0.59028,0.15005,0.04147,2.46239,6.19854,3.38939,0.00119941,0.00119941,0.00119941
19,69.2029,1.85945,2.27789,1.99018,0.28217,0.25,0.23903,0.05655,2.66264,5.90644,3.65418,0.0011719,0.0011719,0.0011719
20,71.477,1.83191,2.1899,2.01704,0.11407,0.30556,0.15123,0.04034,2.44642,4.20191,3.3891,0.0011444,0.0011444,0.0011444
21,73.7891,1.74171,2.15832,1.95174,0.17665,0.35445,0.20619,0.04823,2.25138,3.66345,3.33179,0.00111689,0.00111689,0.00111689
22,75.991,1.72373,2.08582,1.93469,0.40036,0.41667,0.38563,0.1327,2.40166,3.48237,3.24513,0.00108938,0.00108938,0.00108938
23,78.182,1.77331,2.12423,1.95865,0.12277,0.41667,0.12718,0.04281,2.734,3.20983,3.62898,0.00106188,0.00106188,0.00106188
24,81.3812,1.82393,2.11288,2.03221,0.06387,0.23611,0.0892,0.03676,2.54099,3.01095,3.25625,0.00103437,0.00103437,0.00103437
25,83.9155,1.73924,2.12538,1.91696,0.11198,0.41667,0.16733,0.04214,2.44096,2.87657,3.19179,0.00100687,0.00100687,0.00100687
26,86.1611,1.81765,2.09553,1.93703,0.2885,0.35417,0.30679,0.08181,2.42383,3.15657,3.19009,0.000979362,0.000979362,0.000979362
27,88.4469,1.66059,2.02917,1.9169,0.35814,0.29861,0.20037,0.05468,2.48566,3.3566,3.10774,0.000951857,0.000951857,0.000951857
28,90.7447,1.6255,1.99843,1.84761,0.49595,0.29415,0.26296,0.06978,2.57396,2.67897,3.06776,0.000924352,0.000924352,0.000924352
29,93.3789,1.68343,1.98485,1.8811,0.29853,0.559,0.33376,0.09059,2.51772,2.43581,3.11905,0.000896846,0.000896846,0.000896846
30,96.4531,1.72608,2.06681,1.9506,0.33036,0.35192,0.26179,0.07343,2.53156,2.7494,3.24602,0.00086934,0.00086934,0.00086934
31,98.7339,1.60366,1.88407,1.86455,0.11806,0.42361,0.10451,0.02961,2.72009,3.00578,3.29384,0.000841835,0.000841835,0.000841835
32,101.078,1.74654,1.95199,1.91742,0.17995,0.40815,0.19393,0.05266,2.39649,2.63674,3.13026,0.000814329,0.000814329,0.000814329
33,103.385,1.6787,1.9691,1.90755,0.30144,0.65278,0.29147,0.08714,2.45199,2.45849,3.12766,0.000786824,0.000786824,0.000786824
34,105.66,1.58799,1.89169,1.83975,0.2166,0.53472,0.19739,0.05232,2.6549,2.65027,3.31729,0.000759318,0.000759318,0.000759318
35,108.801,1.6912,1.97133,1.91316,0.21184,0.36587,0.16624,0.04472,2.74541,2.6706,3.3572,0.000731813,0.000731813,0.000731813
36,111.345,1.67369,1.84389,1.8676,0.20284,0.53472,0.21471,0.0532,2.72094,2.58116,3.30344,0.000704307,0.000704307,0.000704307
37,113.616,1.64787,1.8233,1.8372,0.30022,0.34722,0.24449,0.04934,2.77481,2.48151,3.24938,0.000676802,0.000676802,0.000676802
38,115.832,1.61204,1.78163,1.80518,0.59807,0.53472,0.50412,0.10489,2.61201,2.17244,3.20361,0.000649297,0.000649297,0.000649297
39,118.139,1.54823,1.75576,1.78721,0.36015,0.57014,0.40817,0.08271,2.64005,2.24068,3.24368,0.000621791,0.000621791,0.000621791
40,120.799,1.64871,1.78142,1.83308,0.41057,0.53472,0.34861,0.08482,2.58077,2.24695,3.0715,0.000594286,0.000594286,0.000594286
41,123.979,1.81244,2.10115,1.99652,0.55031,0.58577,0.38375,0.15267,2.45507,2.18712,2.96569,0.00056678,0.00056678,0.00056678
42,126.285,1.6105,1.84265,1.80307,0.60526,0.40972,0.52179,0.18558,2.29921,2.22935,2.69183,0.000539275,0.000539275,0.000539275
43,128.546,1.64054,1.76569,1.81365,0.50565,0.34028,0.4337,0.15044,2.28733,2.29044,2.6939,0.000511769,0.000511769,0.000511769
44,130.787,1.49275,1.63039,1.74328,0.41019,0.45833,0.4943,0.14142,2.38859,2.30846,2.79305,0.000484263,0.000484263,0.000484263
45,133.034,1.46759,1.62134,1.6946,0.4178,0.58333,0.44519,0.13964,2.41986,2.28115,2.84943,0.000456758,0.000456758,0.000456758
46,136.118,1.61617,1.74322,1.77464,0.34384,0.64583,0.3413,0.09713,2.49313,2.28231,2.99472,0.000429253,0.000429253,0.000429253
47,138.681,1.46708,1.60489,1.66527,0.37089,0.68626,0.37838,0.11236,2.46907,2.1838,2.92012,0.000401747,0.000401747,0.000401747
48,141.003,1.59351,1.7146,1.78412,0.38248,0.63889,0.4526,0.15151,2.33487,2.07293,2.76281,0.000374242,0.000374242,0.000374242
49,143.3,1.43019,1.52994,1.68364,0.42049,0.76389,0.53162,0.18338,2.26377,1.97215,2.73299,0.000346736,0.000346736,0.000346736
50,145.633,1.46066,1.52219,1.69807,0.42737,0.76389,0.57375,0.18176,2.31503,1.88766,2.76371,0.000319231,0.000319231,0.000319231
51,150.885,1.64946,1.8832,2.036,0.48582,0.64583,0.59796,0.22079,2.27384,1.85593,2.71699,0.000291725,0.000291725,0.000291725
52,153.298,1.52591,1.77337,1.95514,0.5813,0.63389,0.57309,0.21798,2.20396,1.92017,2.66754,0.00026422,0.00026422,0.00026422
53,155.463,1.55138,1.69966,1.98769,0.68679,0.499,0.5733,0.22993,2.25792,1.99354,2.70371,0.000236714,0.000236714,0.000236714
54,157.71,1.50476,1.59002,1.888,0.65347,0.46528,0.60819,0.20598,2.39716,1.93262,2.78097,0.000209209,0.000209209,0.000209209
55,159.833,1.47138,1.56667,1.88499,0.59834,0.4921,0.54232,0.16029,2.41248,1.82215,2.88042,0.000181703,0.000181703,0.000181703
56,162.609,1.47698,1.52631,1.8723,0.59012,0.63889,0.59677,0.16498,2.4426,1.77678,3.01427,0.000154198,0.000154198,0.000154198
57,165.313,1.48143,1.50604,1.91633,0.63047,0.52739,0.59911,0.19183,2.43328,1.75099,3.00495,0.000126692,0.000126692,0.000126692
